,sentiment_textblob_movie
531,Positive
532,Positive
533,Positive
534,Negative
535,Positive
536,Positive
537,Negative
538,Negative
539,Negative
540,Positive
541,Positive
542,Positive
543,Positive
544,Positive
545,Positive
546,Positive
547,Negative
548,Positive
549,Negative
550,Positive
551,Negative
552,Positive
553,Negative
554,Positive
555,Positive
556,Positive
557,Positive
558,Negative
559,Positive
560,Positive
561,Positive
562,Negative
563,Negative
564,Negative
565,Positive
566,Positive
567,Positive
568,Positive
569,Negative
570,Negative
571,Negative
572,Positive
573,Positive
574,Positive
575,Positive
576,Positive
577,Positive
578,Positive
579,Positive
580,Positive
581,Positive
582,Positive
583,Negative
584,Positive
585,Positive
586,Positive
587,Negative
588,Positive
589,Positive
590,Positive
591,Negative
592,Positive
593,Positive
594,Positive
595,Positive
596,Positive
597,Positive
598,Positive
599,Positive
600,Positive
601,Negative
602,Positive
603,Positive
604,Positive
605,Positive
606,Positive
607,Positive
608,Negative
609,Positive
610,Positive
611,Positive
612,Positive
613,Positive
614,Positive
615,Positive
616,Positive
617,Negative
618,Negative
619,Positive
620,Positive
621,Positive
622,Negative
623,Negative
624,Positive
625,Positive
626,Positive
627,Positive
628,Positive
629,Positive
630,Negative
631,Positive
632,Negative
633,Positive
634,Positive
635,Positive
636,Positive
637,Positive
638,Negative
639,Positive
640,Negative
641,Positive
642,Positive
643,Positive
644,Positive
645,Positive
646,Positive
647,Negative
648,Positive
649,Positive
650,Positive
651,Positive
652,Negative
653,Positive
654,Positive
655,Positive
656,Negative
657,Positive
658,Positive
659,Positive
660,Positive
661,Positive
662,Negative
663,Negative
664,Negative
665,Negative
666,Positive
667,Negative
668,Positive
669,Positive
670,Positive
671,Negative
672,Positive
673,Positive
674,Positive
675,Negative
676,Positive
677,Positive
678,Positive
679,Positive
680,Positive
681,Positive
682,Negative
683,Negative
684,Positive
685,Positive
686,Positive
687,Negative
688,Positive
689,Positive
690,Positive
691,Positive
692,Positive
693,Positive
694,Positive
695,Positive
696,Positive
697,Positive
698,Negative
699,Positive
700,Positive
701,Positive
702,Positive
703,Negative
704,Positive
705,Positive
706,Negative
707,Negative
708,Negative
709,Negative
710,Positive
711,Negative
712,Positive
713,Negative
714,Positive
715,Negative
716,Negative
717,Positive
718,Negative
719,Positive
720,Positive
721,Negative
722,Negative
723,Negative
724,Negative
725,Negative
726,Negative
727,Positive
728,Negative
729,Positive
730,Positive
731,Positive
732,Positive
733,Positive
734,Positive
735,Positive
736,Positive
737,Positive
738,Negative
739,Positive
740,Positive
741,Positive
742,Positive
743,Negative
744,Negative
745,Positive
746,Negative
747,Positive
748,Positive
749,Positive
750,Positive
751,Positive
752,Negative
753,Positive
754,Negative
755,Positive
756,Negative
757,Positive
758,Positive
759,Positive
760,Negative
761,Positive
762,Positive
763,Positive
764,Negative
765,Positive
766,Negative
767,Positive
768,Positive
769,Negative
770,Negative
771,Negative
772,Positive
773,Negative
774,Positive
775,Negative
776,Negative
777,Positive
778,Positive
779,Positive
780,Positive
781,Positive
782,Positive
783,Positive
784,Positive
785,Negative
786,Positive
787,Positive
788,Positive
789,Positive
790,Positive
791,Negative
792,Positive
793,Positive
794,Negative
795,Negative
796,Positive
797,Positive
798,Negative
799,Positive
800,Positive
801,Positive
802,Positive
803,Negative
804,Negative
805,Positive
806,Positive
807,Positive
808,Positive
809,Negative
810,Negative
811,Positive
812,Negative
813,Positive
814,Negative
815,Positive
816,Positive
817,Positive
818,Positive
819,Negative
820,Negative
821,Positive
822,Positive
823,Negative
824,Positive
825,Positive
826,Positive
827,Negative
828,Negative
829,Negative
830,Negative
831,Positive
832,Positive
833,Negative
834,Negative
835,Positive
836,Positive
837,Negative
838,Positive
839,Negative
840,Positive
841,Positive
842,Positive
843,Negative
844,Positive
845,Positive
846,Negative
847,Positive
848,Positive
849,Negative
850,Positive
851,Negative
852,Positive
853,Positive
854,Positive
855,Positive
856,Negative
857,Negative
858,Positive
859,Negative
860,Positive
861,Positive
862,Positive
863,Positive
864,Negative
865,Negative
866,Positive
867,Negative
868,Positive
869,Positive
870,Positive
871,Negative
872,Positive
873,Positive
874,Positive
875,Positive
876,Positive
877,Positive
878,Positive
879,Positive
880,Positive
881,Negative
882,Negative
883,Positive
884,Positive
885,Negative
886,Negative
887,Positive
888,Positive
889,Positive
890,Positive
891,Negative
892,Positive
893,Negative
894,Positive
895,Positive
896,Positive
897,Negative
898,Positive
899,Positive
900,Positive
901,Positive
902,Negative
903,Negative
904,Positive
905,Positive
906,Positive
907,Negative
908,Positive
909,Positive
910,Positive
911,Negative
912,Positive
913,Negative
914,Negative
915,Negative
916,Positive
917,Negative
918,Positive
919,Negative
920,Positive
921,Positive
922,Positive
923,Negative
924,Negative
925,Negative
926,Positive
927,Negative
928,Negative
929,Positive
930,Positive
931,Positive
932,Positive
933,Negative
934,Positive
935,Negative
936,Negative
937,Positive
938,Positive
939,Negative
940,Negative
941,Positive
942,Negative
943,Positive
944,Positive
945,Positive
946,Positive
947,Positive
948,Positive
949,Positive
950,Positive
951,Positive
952,Positive
953,Negative
954,Positive
955,Negative
956,Positive
957,Positive
958,Positive
959,Positive
960,Positive
961,Negative
962,Positive
963,Positive
964,Positive
965,Positive
966,Positive
967,Positive
968,Negative
969,Positive
970,Negative
971,Positive
972,Positive
973,Positive
974,Positive
975,Positive
976,Negative
977,Negative
978,Positive
979,Negative
980,Positive
981,Positive
982,Positive
983,Negative
984,Positive
985,Positive
986,Positive
987,Negative
988,Positive
989,Positive
990,Negative
991,Negative
992,Positive
993,Positive
994,Negative
995,Positive
996,Positive
997,Positive
998,Positive
999,Negative
1000,Positive
1001,Negative
1002,Positive
1003,Negative
1004,Positive
1005,Positive
1006,Negative
1007,Positive
1008,Positive
1009,Positive
1010,Positive
1011,Negative
1012,Positive
1013,Positive
1014,Negative
1015,Negative
1016,Negative
1017,Negative
1018,Negative
1019,Negative
1020,Positive
1021,Negative
1022,Positive
1023,Positive
1024,Positive
1025,Negative
1026,Positive
1027,Positive
1028,Positive
1029,Negative
1030,Positive
1031,Negative
1032,Positive
1033,Positive
1034,Negative
1035,Positive
1036,Positive
1037,Negative
1038,Positive
1039,Positive
1040,Positive
1041,Positive
1042,Negative
1043,Negative
1044,Positive
1045,Positive
1046,Negative
1047,Positive
1048,Negative
1049,Positive
1050,Negative
1051,Positive
1052,Negative
1053,Positive
1054,Positive
1055,Negative
1056,Positive
1057,Positive
1058,Positive
1059,Positive
1060,Positive
1061,Negative
1062,Positive
1063,Positive
1064,Positive
1065,Positive
1066,Positive
1067,Positive
1068,Positive
1069,Negative
1070,Positive
1071,Negative
1072,Negative
1073,Positive
1074,Positive
1075,Positive
1076,Negative
1077,Negative
1078,Positive
1079,Negative
1080,Positive
1081,Negative
1082,Positive
1083,Negative
1084,Negative
1085,Positive
1086,Negative
1087,Negative
1088,Negative
1089,Positive
1090,Positive
1091,Positive
1092,Positive
1093,Positive
1094,Positive
1095,Negative
1096,Positive
1097,Negative
1098,Negative
1099,Positive
1100,Positive
1101,Negative
1102,Positive
1103,Negative
1104,Positive
1105,Positive
1106,Negative
1107,Negative
1108,Positive
1109,Positive
1110,Positive
1111,Positive
1112,Positive
1113,Positive
1114,Positive
1115,Positive
1116,Positive
1117,Positive
1118,Negative
1119,Negative
1120,Positive
1121,Negative
1122,Positive
1123,Negative
1124,Positive
1125,Negative
1126,Positive
1127,Positive
1128,Negative
1129,Positive
1130,Positive
1131,Negative
1132,Positive
1133,Positive
1134,Positive
1135,Positive
1136,Positive
1137,Negative
1138,Positive
1139,Positive
1140,Negative
1141,Negative
1142,Positive
1143,Positive
1144,Positive
1145,Negative
1146,Negative
1147,Negative
1148,Positive
1149,Negative
1150,Positive
1151,Positive
1152,Positive
1153,Positive
1154,Negative
1155,Positive
1156,Positive
1157,Negative
1158,Positive
1159,Positive
1160,Positive
1161,Negative
1162,Negative
1163,Positive
1164,Positive
1165,Negative
1166,Negative
1167,Negative
1168,Positive
1169,Positive
1170,Positive
1171,Positive
1172,Negative
1173,Negative
1174,Negative
1175,Positive
1176,Positive
1177,Positive
1178,Positive
1179,Positive
1180,Positive
1181,Positive
1182,Positive
1183,Negative
1184,Positive
1185,Positive
1186,Positive
1187,Negative
1188,Positive
1189,Positive
1190,Positive
1191,Positive
1192,Negative
1193,Positive
1194,Positive
1195,Positive
1196,Positive
1197,Positive
1198,Positive
1199,Positive
1200,Positive
1201,Positive
1202,Positive
1203,Positive
1204,Positive
1205,Negative
1206,Negative
1207,Negative
1208,Negative
1209,Negative
1210,Negative
1211,Negative
1212,Positive
1213,Positive
1214,Positive
1215,Positive
1216,Negative
1217,Positive
1218,Positive
1219,Positive
1220,Positive
1221,Positive
1222,Positive
1223,Positive
1224,Positive
1225,Positive
1226,Positive
1227,Positive
1228,Positive
1229,Positive
1230,Positive
1231,Positive
1232,Positive
1233,Positive
1234,Negative
1235,Positive
1236,Positive
1237,Negative
1238,Positive
1239,Negative
1240,Positive
1241,Positive
1242,Positive
1243,Negative
1244,Negative
1245,Negative
1246,Negative
1247,Positive
1248,Positive
1249,Negative
1250,Positive
1251,Positive
1252,Positive
1253,Positive
1254,Positive
1255,Positive
1256,Positive
1257,Positive
1258,Negative
1259,Positive
1260,Positive
1261,Positive
1262,Positive
1263,Positive
1264,Negative
1265,Positive
1266,Negative
1267,Positive
1268,Negative
1269,Positive
1270,Positive
1271,Positive
1272,Positive
1273,Positive
1274,Negative
1275,Negative
1276,Positive
1277,Negative
1278,Positive
1279,Negative
1280,Positive
1281,Negative
1282,Positive
1283,Positive
1284,Positive
1285,Positive
